id,po,so,name,item,itemdesc,qty,lineup,converting,fg,delivery,shipqty,date,deliverydate,comment,c,p,o,f,shipstatus,prodqty,pendingqty,orderstatus,creasingtime,printingtime,dcrtime,finishrtime,lineuptime,converttime,fgtime,lastedited,deliverytime
549,BMPC-22-170,600,Boxmates Packaging Corporation,61x70.50 175lbs  C Flute (1549),1549,1000,f,f,f,f,,2022-06-02,,,f,f,f,f,,,,Planner,,,,,,,,,
550,BMPC-22-188,678,Boxmates Packaging Corporation,61x70.50 175lbs  C Flute (1549),1549,1000,f,f,f,f,,2022-06-22,,,f,f,f,f,,,,Planner,,,,,,,,,
551,BMPC-22-200,716,Boxmates Packaging Corporation,61x71 175lbs C Flute (1549(140-125-140)),1549(140-125-140),1000,f,f,f,f,,2022-07-01,,,f,f,f,f,,,,Planner,,,,,,,,,
552,BMPC-22-086,144,Boxmates Packaging Corporation,61x71 350lbs BC-Flute (1549),1549,600,f,f,f,f,,2022-03-31,,,f,f,f,f,,,,Planner,,,,,,,,,
553,8039,759,Thousand Oaks Packaging Corporation-PPC,621x796 175lbs C-Flute (621x796 175lbs CF),621x796 175lbs CF,500,f,f,f,f,,2022-07-08,,,f,f,f,f,,,,Planner,,,,,,,,,
554,AP-41085-3,439,"AP CARTON BOX, INC.",622x1504 350lbs CB Flute (622(200-125-150-125-200) SPL),622(200-125-150-125-200) SPL,1000,f,f,f,f,,2022-05-16,,,f,f,f,f,,,,Planner,,,,,,,,,
555,2038,6,Philpack Comm'l Ent. Inc.,62x32 175lbs B Flute (1575),1575,5000,f,f,f,f,,2022-01-17,,,f,f,f,f,,,,Planner,,,,,,,,,
556,2972,70,Qube International Packaging Corp-PPC,62x32 175lbs B Flute (1575),1575,15000,f,f,f,f,,2022-03-01,,,f,f,f,f,,,,Planner,,,,,,,,,
557,3019,596,Qube International Packaging Corp-PPC,62x32 175lbs B Flute (1575),1575,5000,f,f,f,f,,2022-06-02,,,f,f,f,f,,,,Planner,,,,,,,,,
558,7213,660,SUH PACK (PHILS) INC.,62x51.25 250lbs BC Flute (1575),1575,500,f,f,f,f,,2022-06-20,,,f,f,f,f,,,,Planner,,,,,,,,,
559,BMPC-22-131,388,Boxmates Packaging Corporation,62x54 175lbs C Flute (1575),1575,600,f,f,f,f,,2022-05-11,,,f,f,f,f,,,,Planner,,,,,,,,,
560,BMPC-22-145,468,Boxmates Packaging Corporation,62x70.50 125lbs B Flute (1575),1575,1500,f,f,f,f,,2022-05-18,,,f,f,f,f,,,,Planner,,,,,,,,,
561,BMPC-22-170,600,Boxmates Packaging Corporation,62x70.50 125lbs B Flute (1575),1575,2500,f,f,f,f,,2022-06-02,,,f,f,f,f,,,,Planner,,,,,,,,,
562,BMPC-22-020,10,Philpack Comm'l Ent. Inc.,62x71 350lbs. BC-Flute (1575 (140-125-115-125-140)),1575 (140-125-115-125-140),500,f,f,f,f,,2022-01-24,,,f,f,f,f,,,,Planner,,,,,,,,,
563,BMPC-22-020,41,Boxmates Packaging Corporation,62x71 350lbs. BC-Flute (1575 (140-125-115-125-140)),1575 (140-125-115-125-140),500,f,f,f,f,,2022-02-11,,,f,f,f,f,,,,Planner,,,,,,,,,
564,3019,596,Qube International Packaging Corp-PPC,62x96 175lbs C Flute (1575),1575,500,f,f,f,f,,2022-06-02,,,f,f,f,f,,,,Planner,,,,,,,,,
565,3029,640,Qube International Packaging Corp-PPC,62x96 175lbs C Flute (1575),1575,700,f,f,f,f,,2022-06-14,,,f,f,f,f,,,,Planner,,,,,,,,,
566,2995,221,Qube International Packaging Corp-PPC,62x96 NT C Flute (62x92 NT),62x92 NT,1000,f,f,f,f,,2022-04-12,,,f,f,f,f,,,,Planner,,,,,,,,,
567,22-00412,593,Exelpack Corporation,630x1230 NT C Flute (630(125-125-125)),630(125-125-125),350,f,f,f,f,,2022-06-02,,,f,f,f,f,,,,Planner,,,,,,,,,
568,3733,756,ContainerBoard & Packaging Company Inc.,632x1714 350lbs BC-Flute (632 (140-125(3)-140)),632 (140-125(3)-140),500,f,f,f,f,,2022-07-08,,,f,f,f,f,,,,Planner,,,,,,,,,
569,BMPC-22-079,117,Boxmates Packaging Corporation,63x54.50 NT C-Flute (1600),1600,600,f,f,f,f,,2022-03-21,,,f,f,f,f,,,,Planner,,,,,,,,,
570,7205,579,SUH PACK (PHILS) INC.,63x58 NT C Flute (1600),1600,500,f,f,f,f,,2022-06-01,,,f,f,f,f,,,,Planner,,,,,,,,,
571,BMPC-22-184,647,Boxmates Packaging Corporation,63x61 350lbs CB Flute (1600(140-125-115-125-140)),1600(140-125-115-125-140),1300,f,f,f,f,,2022-06-16,,,f,f,f,f,,,,Planner,,,,,,,,,
572,"",36,Boxmates Packaging Corporation,63x70.50 125lbs B-Flute (1600),1600,1000,f,f,f,f,,2022-02-09,,,f,f,f,f,,,,Planner,,,,,,,,,
573,BM-0031-062022,643,BM PACKAGING AND BOXES TRADING,640x1690 NT C Flute (640(115-115-115)),640(115-115-115),2100,f,f,f,f,,2022-06-15,,,f,f,f,f,,,,Planner,,,,,,,,,
574,22-00381,508,Exelpack Corporation,640x2103 350lbs SPL. BC Flute (640(150-115-150-115-150)),640(150-115-150-115-150),400,f,f,f,f,,2022-05-24,,,f,f,f,f,,,,Planner,,,,,,,,,
575,22-00374,546,Exelpack Corporation,640x535 175lbs C Flute (640(150-125-150)),640(150-125-150),2600,f,f,f,f,,2022-05-27,,,f,f,f,f,,,,Planner,,,,,,,,,
576,0007623EN,79,Thousand Oaks Packaging Corporation-PPC,641x509 125lbs B-Flute (641x509 (140-125-125)),641x509 (140-125-125),7500,f,f,f,f,,2022-03-04,,,f,f,f,f,,,,Planner,,,,,,,,,
577,0007765EN,238,Thousand Oaks Packaging Corporation-PPC,641x509 125lbs B-Flute (641x509 (140-125-125)),641x509 (140-125-125),10000,f,f,f,f,,2022-04-19,,,f,f,f,f,,,,Planner,,,,,,,,,
578,BM-0036-072022,743,BM PACKAGING AND BOXES TRADING,644x1680 NT C Flute (192x260x192(115-115-115)),192x260x192(115-115-115),1535,f,f,f,f,,2022-07-07,,,f,f,f,f,,,,Planner,,,,,,,,,
